week,log_CI_cells_mL,bloom,month
00,2.1690335119802957,0,1.0
01,2.1690335119802957,0,1.0
02,2.1690335119802957,0,1.0
03,2.1690335119802957,0,1.0
04,2.1690335119802957,0,1.1714285714285715
05,2.1690335119802957,0,1.8857142857142857
06,2.1690335119802957,0,2.0
07,2.1690335119802957,0,2.0
08,2.1690335119802957,0,2.142857142857143
09,2.1690335119802957,0,2.8857142857142857
10,2.1690335119802957,0,3.0
11,3.109146346465592,0,3.0
12,3.109146346465592,0,3.0
13,3.297168913362652,0,3.6
14,6.311818423004055,0,4.0
15,6.133650466593661,0,4.0
16,7.250903601285285,0,4.0
17,7.470939924034962,0,4.333333333333333
18,8.436894777113604,0,4.976190476190476
19,8.992417139960676,1,5.0
20,9.017501706133858,1,5.0
21,9.14472803960956,1,5.071428571428571
22,9.656349970210758,1,5.761904761904762
23,9.214077819208407,1,6.0
24,9.035905372702246,1,6.0
25,8.934852512635823,1,6.0
26,9.068731388757048,1,6.5476190476190474
27,9.048751075253062,1,7.0
28,8.95428837252176,1,7.0
29,8.870754441894396,1,7.0
30,8.768811173306792,1,7.190476190476191
31,8.772588320281997,1,7.928571428571429
32,8.76045721310487,1,8.0
33,8.756209340605727,1,8.0
34,8.77263936280869,1,8.023809523809524
35,8.767716594678841,1,8.666666666666666
36,8.757695245271648,1,9.0
37,8.754899249087298,1,9.0
38,8.753350959110975,1,9.0
39,8.760820182183569,1,9.404761904761905
40,8.764897040405248,1,10.0
41,8.786573972595603,1,10.0
42,8.764897912927072,1,10.0
43,8.806235553877357,1,10.142857142857142
44,8.689597661976595,0,10.857142857142858
45,6.534059899795421,0,11.0
46,4.049259180950889,0,11.0
47,3.109146346465592,0,11.028571428571428
48,3.297168913362652,0,11.685714285714285
49,2.1690335119802957,0,12.0
50,2.1690335119802957,0,12.0
51,2.1690335119802957,0,12.0
52,2.1690335119802957,0,12.0
53,2.1690335119802957,0,12.0
